stream;start_date;end_date;topic;keywords;stt
RTP1_HD;2024-10-02 01:15:03.0;2024-10-02 01:15:36.0;;1.700, novos comandos, fuzileiros moçambicanos, União Europeia, combater, terrorismo, Cabo Delgado, marinha, exército, força aérea, Portugal, Moçambique, Forças Armadas de Defesa Moçambique;São já mais de 1.700 os novos comandos e fuzileiros moçambicanos treinados pela União Europeia para combater o terrorismo em Cabo Delgado. Perdeu a moragia massiva. Perdeu o sangue porém a moragia massiva. Está a ouvir você? Perdeu a moragia massiva. da marinha, do exército e da força aérea. O regresso de facto de Portugal para Moçambique é visto com muito agrado pelas Forças Armadas de Defesa Moçambique, que conformam com o que a gente está fazendo.
RTP1_HD;2024-10-02 01:15:37.0;2024-10-02 01:16:02.0;;prioridade, parceria, desenvolvimento, novas capacidades, cabo delegado, esforço, Portugal, União Europeia, missão de treino, assistência militar, próximos três anos, 14 países, operações;a prioridade na parceria no desenvolvimento de novas capacidades. Isso foi muito facilitado e hoje, de facto, está em cabo delegado o resultado do esforço que foi feito por Portugal inicialmente e que depois a União Europeia deu continuidade. A missão de treino da União Europeia passa agora a ser de assistência militar durante dos próximos três anos. Os 14 países envolvidos nas operações...
RTP1_HD;2024-10-02 01:16:03.0;2024-10-02 01:16:24.0;;português, missão de treino, Ciência Militar, assessoria, mentorização, treino;vão continuar a ser comandados por um português. Aquilo que distingue essencialmente a missão de treino desta missão da Ciência Militar está naquilo que são as nossas missões orientadas a atividades de assessoria, atividades de mentorização e de treino.
RTP1_HD;2024-10-02 01:16:29.0;2024-10-02 01:16:36.0;;Cabo Delgado, forças de reação rápida, moçambicanas, União Europeia;Em Cabo Delgado estão já as 11 forças de reação rápida moçambicanas treinadas pela União Europeia.
RTP1_HD;2024-10-02 01:16:45.0;2024-10-02 01:16:52.0;;Missão de Treino da União Europeia, boas práticas, treino, direito humano;As boas práticas que a Missão de Treino da União Europeia introduziu ao nível do treino da preocupação com o direito humano.
RTP1_HD;2024-10-02 01:16:52.0;2024-10-02 01:17:03.0;;proteção das crianças, proteção das mulheres, cenários de conflito, base legal, efeito dominó, forças para a liberdade;com a proteção das crianças, a proteção das mulheres em cenários de conflito, toda essa base legal está a ter um efeito dominó e está a atingir outras forças para a liberdade.
RTP1_HD;2024-10-02 01:17:04.0;2024-10-02 01:17:11.0;;;que nós treinamos. É uma missão que correu bem e os seus resultados estão a transcender aquilo que foi porventura até o seu planeta.
RTP1_HD;2024-10-02 01:17:12.0;2024-10-02 01:17:20.0;;;É uma opinião unânime o sucesso da missão militar europeia Moçambique. Também ninguém tem dúvidas sobre o papel determinante dos militares.
RTP1_HD;2024-10-02 01:17:27.0;2024-10-02 01:17:34.0;;;Celebrou-se também em Portugal o Dia Europeu das Línguas, uma forma de enaltecer a diversidade de idiomas.
RTP1_HD;2024-10-02 01:17:34.0;2024-10-02 01:17:42.0;;;que os cidadãos europeus falam e quando circulam em vários países da União. Desta vez as comemorações foram em século.
RTP1_HD;2024-10-02 01:17:50.0;2024-10-02 01:18:22.0;Education;França, Irlanda, Portugal, Panquecas, bolo de frutas, Dia Europeu das Línguas, Moldavo, Urdu, Paquistão, Serpa, comunidade escolar, nacionalidades;A França, Irlanda, Portugal, tudo mais alguma coisa. Panquecas, bolo de frutas. Festeja-se o Dia Europeu das Línguas. Como é que se diz Dia Europeu das Línguas em Moldavo? Zyła Europejna z Límbia. E em Urdu, a língua oficial do Paquistão? Este ano, a data é assinalada em Serpa, onde a comunidade escolar tem muitas nacionalidades.
RTP1_HD;2024-10-02 01:18:26.0;2024-10-02 01:19:36.0;Education;alunos, 15 países, Áustria, Moldávia, inglês, português, integrarem, esforçar, falar, ajudando, trabalhos, escrevendo, caderno, palavras, aprender, Maxime, professora de matemática, traduzindo, prêmio, excelente aluno de matemática;Há alunos de 15 países, pelo menos. Eu sou da Áustria, estou aqui há cinco anos mais ou menos. Nós somos da Moldávia, estou cá há seis anos e o meu amigo está cá só há dois meses. O inglês é a primeira alternativa para conversar. Mas para se integrarem, precisam de aprender português, o que nem sempre é fácil. Foi mesmo muito difícil, porque no início eu sempre ficava bem sozinha, porque as pessoas depois não me entendiam, não queriam estar comigo, mas depois comecei a me esforçar e consegui começar a falar e pronto. Estou-lhe ajudando nos trabalhos e me meio em casa escrevendo um caderno, umas palavras para ele aprender. Maxime é este ano o grande aliado da professora de matemática. Vou falando e o outro vai traduzindo. O prêmio é uma ajuda muito boa e cheguei à conclusão que o aluno, a matemática pelo menos, da aula que teve, é um excelente aluno de matemática. Mas nem sempre é assim tão fácil. A gente não consegue estar a dar atenção aos nossos alunos.
RTP1_HD;2024-10-02 01:19:36.0;2024-10-02 01:19:59.0;Education;portugueses, alunos estrangeiros, língua, história, geografia, física, fisico-química;portugueses e dar atenção aos alunos estrangeiros. É muito complicado, muito complicado. E depois ver o aluno olhar para nós como se estivesse noutra dimensão que não a nossa, até ainda é mais aflitivo. Para eles, logo à partida, sem saberem a língua, começarem a ter história, geografia, física, fisico-química, etc. Acho que não faz sentido nenhum.
RTP1_HD;2024-10-02 01:20:00.0;2024-10-02 01:21:27.0;Education;prepará-los, primeiro ano, integrarem, escola, aprenderem, língua, ferramenta de integração, nacionais, investimento, grupamento, escola secundária, integração, alunos menores, pais, turmas de noturno, Português Língua de Acolhimento, línguas oficiais, União Europeia, informar, pessoas mais novas, pessoas mais velhas, Europa, atividades, Serpa, diversidade, acolhimento, comunidades, vida na Europa, diversidade linguística, celebrada;Devia apostar realmente em prepará-los no primeiro ano para se integrarem verdadeiramente na escola e para aprenderem a língua do país. Obviamente a língua é uma ferramenta de integração. Ninguém se consegue integrar sem falar com os nacionais. E daí o investimento que nós temos estado a fazer, grupamento e também na escola secundária, a nível da integração não só dos alunos menores que vêm para aqui, mas também dos seus pais que ingressam nas turmas de noturno do Português Língua de Acolhimento. Neste dia, além das 24 línguas oficiais, celebram-se as mais de 200 línguas faladas na União Europeia. Para informar as pessoas mais novas e às vezes até as mais velhas, porque às vezes há pessoas mais velhas que não tiveram essa chance de conhecer e se informarem acerca da Europa, que é onde nós vivemos. Então, isto serve para informar as pessoas graças às atividades e mesmo ao dia em si. Serpa é um exemplo da diversidade que se quer destacar. Serpa é Portugal, Serpa é Europa, com tudo aquilo que a Europa tem de rico, diferente, único e também de diferenciador. E é uma terra também de acolhimento e Serpa neste momento é uma terra de acolhimento também para comunidades que procuram continuar a sua vida na Europa e que trazem também com elas essa diversidade, incluindo linguística, que deve ser celebrada.
RTP1_HD;2024-10-02 01:21:55.0;2024-10-02 01:22:34.0;Politics;comissária europeia, Segurança e Defesa, pasta, indústria da defesa, coordenar esforços, Estados-membros, desafios comuns, política, estratégica, problemas, Sul, Este, plataforma, resolver;Se eu pudesse ser comissária europeia, eu gostaria de ser atribuída a pasta da Segurança e Defesa, que é uma pasta que, a meu ver, infelizmente ainda não existe. Fala-se agora de uma pasta da defesa, mas que será mais da indústria da defesa e que o objetivo é coordenar os esforços dos diferentes Estados-membros para enfrentar os desafios comuns. Para mim, uma pasta da Segurança e da Defesa seria uma pasta mais política e mais estratégica, porque como nós sabemos, temos vários problemas e problemas diferentes, tanto no Sul como a Este, e os Estados-membros precisam de uma plataforma para resolver os problemas que, obviamente, individualmente não conseguem. Assim que eu gostaria de ser comissária da Segurança e da Defesa.
RTP1_HD;2024-10-02 01:22:41.0;2024-10-02 01:22:52.0;;Parlamento Europeu, prémios Lux de Cinema, Terra Europa, finalistas;Todos os anos o Parlamento Europeu atribui os prémios Lux de Cinema. O Terra Europa foi conhecer alguns dos finalistas deste ano. Entre os filmes candidatos ao grande...
RTP1_HD;2024-10-02 01:22:52.0;2024-10-02 01:23:33.0;;prémio, filmes, depressão, turismo em massa, reportagem, enviados especiais, João Damião, Pedro Ribeiro, cinema, Europa, Parlamento Europeu, prémio Lux, Academia de Cinema Europeu, finalistas, vitória, 2025, sessão plenária, Estrasburgo;de prémio estão filmes sobre a depressão e sobre o turismo em massa. A reportagem é dos enviados especiais João Damião e Pedro Ribeiro. É uma grande celebração do cinema produzido na Europa. Todos os anos o Parlamento Europeu atribui o prémio Lux em parceria com a Academia de Cinema Europeu. Desta vez, os cinco finalistas na corrida para a vitória em 2025 foram revelados na última sessão plenária em Estrasburgo.
RTP1_HD;2024-10-02 01:23:34.0;2024-10-02 01:23:45.0;;Lux Award, 70,000 strong audience, 717 screenings;During last year's edition, the Lux Award reached a 70,000 strong audience, 70,000 person strong audience in about 717 screenings.
RTP1_HD;2024-10-02 01:23:46.0;2024-10-02 01:24:17.0;;filme, Julia Keeps Quiet, realizador, Leonardo Van Dyle, Festival de Cannes, tenista, 15 anos, treinador, investigado, assédio, Julia, silêncio;Em concurso está o filme Julia Keeps Quiet, do realizador belga Leonardo Van Dyle, que estreou este ano no Festival de Cannes. A história acompanha uma tenista de 15 anos cujo treinador está a ser investigado por casos de assédio. Todos querem que Julia relate o que aconteceu, mas a jovem mantém-se em silêncio.
RTP1_HD;2024-10-02 01:24:22.0;2024-10-02 01:24:35.0;;;and that's something very, let's say, human. And we all have in that way silence in us. There are always things that we don't want to talk about, that we don't dare to talk about, that we're not ready to talk about yet.
RTP1_HD;2024-10-02 01:24:38.0;2024-10-02 01:25:37.0;;;Também está nomeada a obra Animal da realizadora grega Sofia Ezarcu. O filme segue a rotina de trabalhadores noturnos numa pequena vila grega excessivamente turística. Para ambos os realizadores, a nomeação nos prémios Lux representou importante passo rosnaux distinct, quem encuentra rapidement.
RTP1_HD;2024-10-02 01:25:37.0;2024-10-02 01:25:53.0;;;You know, in a way, like, it's still, you know, that's for the industry and that's not why you make the movies. And so, you know, I'm just like over the moon that, for example, now because of Luke's, the Julie will be seen and heard in a country like Portugal and they cannot wait to hear what you think.
RTP1_HD;2024-10-02 01:25:54.0;2024-10-02 01:26:04.0;;;O vencedor do prémio Lux é escolhido pelos eurodeputados e também pelos cidadãos europeus. Qualquer pessoa pode votar online no filme favorito até abril de 2021.
RTP1_HD;2024-10-02 01:26:12.0;2024-10-02 01:26:20.0;;;E a terminar, um dos discursos mais poderosos na Assembleia Geral das Nações Unidas foi o discurso do ministro dos Negócios Estrangeiros, Brito.
RTP1_HD;2024-10-02 01:27:13.0;2024-10-02 01:27:20.0;;;that I stand here also as a black man whose ancestors were taken in chains from Africa.
RTP1_HD;2024-10-02 01:27:20.0;2024-10-02 01:27:35.0;;;at the barrel of a gun to be enslaved, whose ancestors rose up and fought in a great rebellion of the enslaved. Imperialism, I know it when I see it, and I will call it out for what it is.
RTP1_HD;2024-10-02 01:27:44.0;2024-10-02 01:28:00.0;;;Russia is trying to return us to a world of the past. A world of imperialism. A world of redrawing borders by force. A world without the UN Charter. We cannot allow this to happen.
RTP1_HD;2024-10-02 01:28:09.0;2024-10-02 01:28:18.0;;;Termina aqui mais um Terra Europa. Siga-nos como sempre nas redes sociais, em RTP Europa. Escute o nosso programa na Antena 1, programa de rádio.
RTP1_HD;2024-10-02 01:28:51.0;2024-10-02 01:29:00.0;;;And then after the revolution of 1974, we change for the date of the revolution, 25 April.
RTP1_HD;2024-10-02 01:29:34.0;2024-10-02 01:30:04.0;;;Nasceram selvagens. Já foram povo no rio e prisioneiros. Já viram passar mais do que um navio. Quarenta anos dá para muita coisa. E agora dá para desistir. Delphines, 40 anos.
RTP1_HD;2024-10-02 01:30:26.0;2024-10-02 01:30:45.0;;turismo de saúde, risco exponenciais, sustentabilidade, SNS, Serviço Internacional de Saúde;que chegam aqui em dois dias, uma semana, estão na nossa urgência. Os profissionais de saúde falam de turismo de saúde organizado com riscos exponenciais e que põem também em causa a sustentabilidade do SNS. Serviço Internacional de Saúde. Quinta-feira, num exclusivo.
RTP1_HD;2024-10-02 01:31:02.0;2024-10-02 01:31:08.0;;olhar, alguém, linda;Por trás daquele olhar existia alguém tão linda
RTP1_HD;2024-10-02 01:31:09.0;2024-10-02 01:31:37.0;;amor, alguém especial, fazer feliz, viver, coração, busca;Que não acreditava no amor e nem sequer sabia Queria encontrar alguém especial Queria lhe fazer feliz E com ele ia viver um amor sem igual meu coração só busca por você
RTP1_HD;2024-10-02 01:31:38.0;2024-10-02 01:31:48.0;;encontrar, grande amor;E ao te encontrar, descobri um grande amor Oh, oh, oh, oh, oh
RTP1_HD;2024-10-02 01:32:02.0;2024-10-02 01:32:32.0;;Caio, Pepe, equipe, emocional, Europa, Mauro, jejum, exame de sangue, Ramiro, saúde dos atletas, exames;O Caio não gostou nada da chegada do Pepe na equipe. A gente vai ter que trabalhar muito o emocional do Caio. Essa oportunidade de jogar na Europa está desequilibrando a cabeça dele. Ô, Mauro, você já avisou ao Pepe que amanhã cedo ele vai ter que chegar aqui em completo jejum? Já avisei isso, empreendedor. Ele também vai fazer o exame de sangue? Ai, agora o Ramiro quer um acompanhamento total da saúde dos atletas. Ainda bem que os nossos exames estão em dia, né? Ah, que foi? Tá com medo de fazer o exame de sangue de novo, é? É? Só a última vez, quase caiu duro!
RTP1_HD;2024-10-02 01:32:39.0;2024-10-02 01:32:45.0;;pai, cortar, unha, dedão, morrente, furar, meia;Já falei pro teu pai cortar a unha do dedão morrente? Nunca vi furar tanta meia.
RTP1_HD;2024-10-02 01:34:07.0;2024-10-02 01:34:18.0;;;Não, você vai me desculpar, mas eu não posso continuar, vou ter que sair. Mas amanhã eu vou voltar bem mais inspirado e a gente retoma o embate, tá bom?
RTP1_HD;2024-10-02 01:34:21.0;2024-10-02 01:34:50.0;;;Nobinha! Acabei de vir do seu quarto, pensei que você estivesse descansando. É, eu até que descansei um pouquinho, mas depois vim pra cá movimentar os neurônios com o xadrezinho. Agora eu vou tomar um banho, tenho que ir lá pro hospital, vou dormir com o Dentro. Ah, ele já está num quarto? Já. Deve estar dando trabalho para as enfermeiras, se eu bem conheço aquele velho fanfarrão. Diga pra ele que eu mandei um beijo. Não, vou dizer que você mandou um abraço. Ah, tá. Tá bom.
RTP1_HD;2024-10-02 01:34:52.0;2024-10-02 01:35:19.0;;;Então, elegante. Nossa, elegante é, né, Marcos? Onde é que vai assim? Eu vou ao hotel remarcar nossa apresentação de dança. Agora sim, no final do dia. Por que você não deixa para amanhã? Ou então telefona. Eu não sou mulher de firmar compromisso pessoalmente e desmarcar por telefone, Norma. Eu pedi uma data ao gerente, ele me deu. Agora eu vou lá...
RTP1_HD;2024-10-02 01:35:20.0;2024-10-02 01:35:41.0;;único horário, voltinha, último, aguardado, ninguém é de ferro, atrasar, loguinho, tchau;Era o único horário que ele tinha, não é? Fazer o quê? E eu aproveito e vou dar uma voltinha. Não tá explicado, não tá explicado. Então vai unir o último ao aguardado. Ninguém é de ferro, querido. Bom, eu não gosto de me atrasar e eu já vou indo, tá? Até loguinho. Tô bem, né? Tá muito bem, muito bem. Tchau, tchau.
RTP1_HD;2024-10-02 01:35:46.0;2024-10-02 01:36:03.0;Food & Drink;farinha de amêndoas, xilitol, Giovanni, brigadeiro de abacate, cacau, saudável;Ó, esses eu fiz com farinha de amêndoas e xilitol, pro seu Giovanni poder comer. Depois eu vou rechear com brigadeiro de abacate e cacau. Nem vai parecer saudável de tão bom que vai ficar, hein? Olha. Hum, que delícia!
RTP1_HD;2024-10-02 01:36:11.0;2024-10-02 01:36:54.0;;Cheirinho bom de bolo, baixo carboidrato, Giovanni, Yara, alta, hospital, notícia boa, aprendiz de assassino, Antônio Júnior, garota de programa, Cindy, hora de dança;Cheirinho bom de bolo! É, e esses são pro seu Giovanni comer. É de baixo carboidrato. É? Você sempre tá atenciosa, Yara. E o seu bem, como que tá? Tem alguma novidade? Sim, ele tá bem. Já foi pro quarto, logo logo vai ter alta. E o Giovanni tá tomando um banho, vai dormir com ele no hospital. Ai, que bom, pelo menos uma notícia boa hoje. O quê? Aconteceu alguma coisa de ruim? É, a senhora não soube? O quê? É, depois do aprendiz de assassino Antônio Júnior, que graças a Deus já fugiu, agora temos uma garota de programa aqui em casa. Garota de programa? É, uma tal de Cindy. Vem fazer a hora de dança com ela.
RTP1_HD;2024-10-02 01:36:59.0;2024-10-02 01:37:09.0;;filha, nome, síndia, guerra, família, dona tela;Se eu tivesse uma filha, eu jamais ia dar nome de síndia, ia dar nome assim, tipo de família, dona tela. Síndia é nome de guerra.
RTP1_HD;2024-10-02 01:37:33.0;2024-10-02 01:37:43.0;;espantar, comia, repetir, louco, fama, gulosa;Olha, se eu não fosse espantar você, eu até comia mais de uma vez. Ué? Podia repetir? Que? Você tá louco? Claro que não. Mal cheguei, já vou ter fama de gulosa? Não, olha só.
RTP1_HD;2024-10-02 01:37:51.0;2024-10-02 01:37:59.0;Personal Celebrations & Life Events;palhaçinha, aniversário, criança, piscarim, doutor;Sério? Sabia que eu já fui palhaçinha aniversário de criança? É piscarim, doutor.
RTP1_HD;2024-10-02 01:38:00.0;2024-10-02 01:38:08.0;Personal Celebrations & Life Events;amiga, escolinha, conhecida, Pepe, amigo, tempo;Acho que é amiga dele na escolinha. Amiga não, conhecida. Pepe não entrou na escolinha, não deu tempo nem de fazer amigo, muito menos amiga.
RTP1_HD;2024-10-02 01:38:09.0;2024-10-02 01:38:16.0;Personal Celebrations & Life Events;adaptação, imagens;Na adaptação de imagens.
RTP1_HD;2024-10-02 01:38:17.0;2024-10-02 01:38:24.0;Personal Celebrations & Life Events;trabalha, dinheiros, papai, Chamado, filho, campo de futebol;Não, ele não trabalha mais aqui. Tira os dinheiros do teu papai. Chamado que tem jogado o nosso filho naquele campo de futebol.
RTP1_HD;2024-10-02 01:38:27.0;2024-10-02 01:39:53.0;Style & Fashion;garota, mamãe, Pepe, Hagatzi, homem, Rosa Flor, Bibiana, estilista, moda, Itália, croquis, desenho, roupa, costura, desconto;O nome da garota? Não sei, mamãe, não me apresentou ainda. Então vai lá, vai lá, vai lá, arranca tudo que você conseguir descobrir sobre ela. Vai, vai, vai, vai, vai, vai. Ajuda a proteger meu bambino. Mamãe, mamãe, o Pepe não é mais criança, o Hagatzi é um homem. Não é esse homem, é cuidado de mamãe, vai, vai, vai, vai. Tá tudo bem, mamãe, vai. Tá bom. E aí, não vai apresentar seu amigo? Rosa Flor, minha irmã Bibiana, Bibiana, Rosa Flor. Prazer, prazer. Bibiana, vem cá, você cozinha tão bem quanto sua mãe, que essa comida tá deliciosa. Não, minha irmã é estilista. Ela estudou moda na Itália. Caramba, que chique! Sempre quis conhecer uma estilista. Você quer ver uns croquis? Uns croquê? Croquis é... um desenho de roupa, de moda. Ela desenha, você escolhe uma roupa no desenho e ela vai lá e costura. É isso aí, não? Eu sei porque tem assim, uma roupa feita só pra mim, mas essas coisas devem ser meio caras, né? Mas então aproveita. Aproveita que eu tô cobrando baratinho ainda pra divulgar meu trabalho, entendeu? E ainda consigo um desconto legal, né, de irmão. Hum, nossa. Então tá bom. Então já que é assim, deixa eu ver. Posso te mostrar, amor? É, eu sei que eu tava desenhando agora e eu acho que vai ficar lindo em você. É, ele só é assim, um pouquinho quente, né? Assim, super...
RTP1_HD;2024-10-02 01:40:00.0;2024-10-02 01:40:07.0;;;Entendeu? E na manga você fala, pode trocar o tecido, bota renda. Gosto. Hã? Gosto. Tá bom. É.
RTP1_HD;2024-10-02 01:41:53.0;2024-10-02 01:42:04.0;;;Se alguém for lá, vai achar que, sei lá, passou um rato. Não acredito que você comeu esses pedaços de queijo. A fome era muito grande, meu irmão. Desculpa. Pode me chamar de camundongo pra esses de hoje.
RTP1_HD;2024-10-02 01:42:46.0;2024-10-02 01:42:52.0;;;Qual é esse futuro? Então, nunca falei isso antes, mas eu sou inservido.
RTP1_HD;2024-10-02 01:42:55.0;2024-10-02 01:43:03.0;;protegendo, povo, pessoas ruins, não dando sopa, exército;Só que protegendo o povo das pessoas ruins e não dando sopa. Aí o menos tem no exército. Sério?
RTP1_HD;2024-10-02 01:43:07.0;2024-10-02 01:43:27.0;;respeita, Rodrigo, caminho na vida, empolgado, começar, exército, barra pesada, requer, disciplina, certeza, virar, coisinhas;Sabe, tá ligado? Todo mundo respeita. Ai, mas que maravilhoso, Rodrigo. Eu fico muito feliz que você tenha encontrado seu caminho na vida. Mesmo. Eu tô empolgado pra começar. É, mas eu preciso te avisar que o exército é barra pesada, requer disciplina. Mas eu tenho certeza que você vai se virar muito bem, tá? E aí eu só tenho duas coisinhas pra te falar.
RTP1_HD;2024-10-02 01:43:28.0;2024-10-02 01:43:37.0;;Rodrigo, respeito, uniforme, ações;Rodrigo, o primeiro é que o respeito não vem do uniforme, mas sim do que ele representa. São as suas ações que te definem. Então, sim.
RTP1_HD;2024-10-02 01:43:40.0;2024-10-02 01:43:48.0;;respeitado, segunda, Tia Fê, abraço;E você será respeitado. Beleza, mas e a segunda? A segunda é que a Tia Fê vai estar sempre aqui porque você precisa. Vem aqui me dar um abraço.
